playersessionid,profileid,segment,op_num.1,op_num.2,op_num.3,op_num.4,op_num.5,op_num.6,op_num.7,op_num.8,op_num.9,op_num.10,op_num.11,op_num.12,op_num.13,op_num.14,op_num.15,op_num.16,op_num.17,op_num.18,op_num.19,op_num.20,op_num.21,op_num.22,op_num.23,op_num.24,op_num.25,op_num.26,op_num.27,op_num.28,op_num.29,op_num.30,op_num.31,op_num.32,op_num.33,op_num.34,op_num.35,op_num.36,op_num.37,op_num.38,op_num.39,op_num.40,op_num.41,op_num.42,op_num.43,op_num.44,op_num.45,op_num.46,op_num.47,op_num.48,op_num.49,op_num.50,op_num.51,op_num.52,op_num.53,op_num.54,op_num.55,op_num.56,op_num.57,op_num.58,op_num.59,op_num.60,op_num.61,op_num.62,op_num.63,op_num.64,op_num.65,op_num.66,op_num.67,op_num.68,op_num.69,op_num.70,op_num.71,op_num.72,op_num.73,op_num.74,op_num.75,op_num.76,op_num.77,op_num.78,op_num.79,op_num.80,op_num.81,op_num.82,op_num.83,op_num.84,op_num.85,op_num.86,op_num.87,op_num.88,op_num.89,op_num.90,op_num.91,op_num.92,op_num.93,op_num.94
herodisruptor_2500916535_2,herodisruptor_2500916535_2,early_game,solo,solo,solo,solo,solo,solo,solo,fight,solo,solo,solo,solo,kill_hero,solo,solo,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herodisruptor_2500916535_2,herodisruptor_2500916535_2,mid_game,solo,solo,solo,solo,solo,solo,teaming,solo,teaming,teaming,teaming,death,fight,solo,solo,death,fight,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herodisruptor_2500916535_2,herodisruptor_2500916535_2,late_game,death,harrassed_by_opponents,fight_diminishes,solo,solo,solo,solo,solo,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herorubick_2500811393_3,herorubick_2500811393_3,early_game,solo,solo,solo,solo,kill_hero,teaming,teaming,solo,solo,death,kill_hero,solo,solo,solo,solo,solo,solo,solo,death,solo,solo,solo,death,solo,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herorubick_2500811393_3,herorubick_2500811393_3,mid_game,solo,solo,solo,solo,teaming,teaming,solo,solo,solo,solo,death,harrassed_by_opponents,fight_diminishes,solo,teaming,teaming,death,solo,solo,solo,solo,solo,solo,death,solo,solo,solo,death,teaming,teaming,death,teaming,fight_diminishes,solo,solo,kill_hero,teaming,solo,solo,teaming,teaming,death,death,kill_hero,solo,solo,solo,solo,death,solo,solo,solo,teaming,solo,solo,solo,solo,death,fight,solo,teaming,solo,teaming,teaming,kill_hero, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herorubick_2500811393_3,herorubick_2500811393_3,late_game,death,death,teaming,teaming,solo,solo,teaming,solo,solo,solo,teaming,teaming,death,harrassed_by_opponents,fight_diminishes,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herosven_2501342105_3,herosven_2501342105_3,early_game,solo,solo,solo,solo,solo,solo,solo,kill_hero,solo,fight,solo,fight, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herosven_2501342105_3,herosven_2501342105_3,mid_game,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,teaming,solo,solo,solo,death,fight,solo,solo,solo,kill_hero,solo,solo,solo,solo,kill_hero,kill_hero,kill_hero,teaming,solo,solo,death,solo,solo,solo,teaming,teaming,solo,solo,solo,solo,solo,kill_hero,fight,solo,solo,solo,solo,solo,solo,solo,solo,kill_hero,kill_hero,teaming,fight_diminishes,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herosven_2501342105_3,herosven_2501342105_3,late_game,kill_hero,death,fight,solo,solo,solo,teaming,solo,solo,teaming,teaming,teaming,kill_hero,fight,solo,solo,kill_hero,teaming,solo,solo,teaming,solo,solo,kill_hero,fight,teaming,teaming,kill_hero,kill_hero,kill_hero,kill_hero,teaming,solo,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
heroemberspirit_2501098786_3,heroemberspirit_2501098786_3,early_game,teaming,solo,solo,solo,solo,solo,solo,fight,solo,solo,solo,solo,solo,solo,solo,solo,solo,kill_hero,fight,fight,kill_hero,solo,fight,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
heroemberspirit_2501098786_3,heroemberspirit_2501098786_3,mid_game,solo,solo,solo,teaming,fight,solo,solo,kill_hero,kill_hero,solo,solo,solo,solo,solo,solo,teaming,solo,teaming,solo,solo,kill_hero,teaming,solo,solo,kill_hero,solo,solo,solo,death,teaming,solo,solo,solo,solo,fight,fight,fight,kill_hero,solo,teaming,solo,solo,solo,kill_hero,kill_hero,fight,teaming,teaming,kill_hero,fight, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
heroemberspirit_2501098786_3,heroemberspirit_2501098786_3,late_game,teaming,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
heromirana_2501294293_2,heromirana_2501294293_2,early_game,solo,solo,kill_hero,kill_hero,solo,teaming,teaming,death,kill_hero,fight,fight,death,solo,solo,teaming,solo,solo,solo,solo,teaming,solo,teaming,teaming, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
heromirana_2501294293_2,heromirana_2501294293_2,mid_game,kill_hero,kill_hero,solo,solo,solo,solo,solo,solo,kill_hero,teaming,teaming,teaming,death,solo,solo,solo,solo,solo,solo,solo,solo,kill_hero,kill_hero,fight,solo,solo,teaming,teaming,solo,teaming,solo,solo,solo,kill_hero,kill_hero,solo,solo,teaming,fight,solo,teaming,teaming,kill_hero,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
herokeeperofthelight_2501088650_2,herokeeperofthelight_2501088650_2,early_game,solo,teaming,solo,solo,teaming,solo,solo,solo,solo,kill_hero,solo,solo,solo,solo,solo,solo,death,solo,solo,solo,solo,solo,death,solo,solo,solo,death,solo,solo,solo,death,fight,solo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
